,0
0,아 결려 
1,  가 건축주 만나 해요
2, 나 옷도 없는 
3,  아 진짜 사무실에서 피지 말라니깐 간접흡연이 얼마나 안좋은
4,그럼 직접흡연하는 난 얼마나 안좋겠니 안그래 보면 꼭 지 생각만 하고
5,  손님 왔어요
6,손님 누구
7,몰라요 팀장님 친구래요
8, 친구 친구 누구
9,  그걸 가 어떻게 알아요
10,오랜만이네
11,
12,동문주소록 정확하네 혹시나 했는 근 맞네
13,저기 근
14, 
15, 누구 신지
16,나 몰라  세요
17, 
18,저기 옛날에 대학 1학년
19,어떻게 날 까먹어
20,에이 까먹긴 뭘 까먹어 하도 오랜만이니까
21,그래두 나 별루 변한 도 없는
22,  살은 좀 찐 거 같은
23,
24,  그래서 무슨 일 해
25,그냥 방송일 조금
26,방송 방송 
27,케이블 같은서 아침에 배도 타고 산도 오르고 있어 그런 거
28,사는 덴 어디야
29,개포동
30,남편은 하는
31,   동사무소에서 인구조사 나왔니 지금
32,옛날에 살던 집인 너무 낡아서 이번에 싹 밀고 제대로 새로 지으려고
33, 
34,언제부터 시작할 수 있어
35,  나  나보고 하라고
36,  그럼 가 널 왜 만나러 왔겠어
37,근 왜 나한테
38,가 몇 명 만나봤는 보니까 죄다 사기꾼 같고 영 못 믿겠어
39,  에이 가 무슨 나 못해
40,왜
41,나 이런 거 한번도 안 해봤어
42,잘됐네 그럼 이번에 해보면 되잖아
43,야야 그러지말고 가 이런 거 잘하는 딴 소개 시켜줄께 이런 거
44,  이런 거 돈이 안된다 이거야 돈 제대로 줄께 걱정마
45,아니 그런 게 아니라
46,아니면 됐네
47,안된다니깐
48,그게 회사엔 룰이란 게 있어요 젤 위에 소장 그 밑에 부장 그렇게 응
49,
50,나같은 일개 시다가 응  사무실에서 봤을 땐 말이 안된다는 거지
51,그러니까 니 말은 느네 소장이 오케이 할 리가 없다 이거야
52,그렇지 바로 그거지 알아듣네
53,안 켜
54,왜요
55,뭔가 말리는 기분이야 불길해
56,가
57,생각해봐 친구랍시고 갑자기 불쑥 나타나서 ‘집 져줘’ 안이상해
58,가 이상해 우정만 돋는구만 
59,우정 좋아하네 싸가지 못봤어 지가 청담동 며느리면 다야
60,개포동이라며
61,저 나이에 집 짓겠다는 도 이상하고
62,남편 복 받은 년인가 보지 
63,   너 오늘 유난히 대답 잘 한다 라임 맞춰가면서
64,그니까 쓸없는 걱정 말고 좋은 기회잖아요 뷰 응
65,지금부터 바짝 서두르면 얼마나 걸려 추워지기 전에 끝줄 수 있지
66,  저기 그 전에
67, 
68,집을 왜 짓는
69, 왜냐니
70,그 비싼 강남 아파트에 사시는 사모님께서 구태여 촌구석에 집을 짓는 이유가
71,  그야  맘이지
72,남편이 돈을 잘 버나봐
73, 
74,공기 좋은 다 집도 뚝딱 짓고 아니 그래두 그렇지 전원주택 단지도 있고
75,너 말 되게 예쁘게 한다
76,
77,돈지랄이야 됐어
78,
79,더 고상한 이유가 있어야 돼 그냥 돈지랄이면 집도 못짓니
80,
81,진짜 드럽게 재수없게 구네 키지 않으면 하지마
82,>이거
83, 이도
84,가 잘못했어 미안 미안 쏘리 암쏘쏘리
85, 
86,그렇다고 뭘 또 그렇게 너 많이 격해졌다
87,  
88,집 짓는 이유가 그렇게 중요해 왜 가 사기라도 칠까봐
